Frequency (MHz),Power (dB),Timestamp
92.75,-9.81,2026-06-11 18:45:06
92.7502,-9.41,2026-06-11 18:45:06
92.7503,-14.37,2026-06-11 18:45:06
92.7505,-6.87,2026-06-11 18:45:06
92.7506,-1.41,2026-06-11 18:45:06
92.7508,1.45,2026-06-11 18:45:06
92.7509,-11.12,2026-06-11 18:45:06
92.7511,-21.15,2026-06-11 18:45:06
92.7512,-0.41,2026-06-11 18:45:06
92.7514,4.78,2026-06-11 18:45:06
92.7515,-16.65,2026-06-11 18:45:06
92.7517,-2.76,2026-06-11 18:45:06
92.7518,-5.77,2026-06-11 18:45:06
92.752,4.79,2026-06-11 18:45:06
92.7521,-4.34,2026-06-11 18:45:06
92.7523,-6.25,2026-06-11 18:45:06
92.7524,-8.91,2026-06-11 18:45:06
92.7526,-19.74,2026-06-11 18:45:06
92.7527,1.84,2026-06-11 18:45:06
92.7529,-2.95,2026-06-11 18:45:06
92.7531,-4.68,2026-06-11 18:45:06
92.7532,-2.61,2026-06-11 18:45:06
92.7534,4.02,2026-06-11 18:45:06
92.7535,3.49,2026-06-11 18:45:06
92.7537,1.44,2026-06-11 18:45:06
92.7538,0.88,2026-06-11 18:45:06
92.754,-2.7,2026-06-11 18:45:06
92.7541,-0.84,2026-06-11 18:45:06
92.7543,-6.1,2026-06-11 18:45:06
92.7544,-8.93,2026-06-11 18:45:06
92.7546,-9.43,2026-06-11 18:45:06
92.7547,4.52,2026-06-11 18:45:06
92.7549,-6.74,2026-06-11 18:45:06
92.755,-3.59,2026-06-11 18:45:06
92.7552,-1.61,2026-06-11 18:45:06
92.7553,-0.89,2026-06-11 18:45:06
92.7555,5.63,2026-06-11 18:45:06
92.7556,-1.03,2026-06-11 18:45:06
92.7558,-2.23,2026-06-11 18:45:06
92.756,-8.71,2026-06-11 18:45:06
92.7561,5.1,2026-06-11 18:45:06
92.7563,2.59,2026-06-11 18:45:06
92.7564,2.91,2026-06-11 18:45:06
92.7566,5.42,2026-06-11 18:45:06
92.7567,-3.89,2026-06-11 18:45:06
92.7569,-18.47,2026-06-11 18:45:06
92.757,-13.72,2026-06-11 18:45:06
92.7572,-13.0,2026-06-11 18:45:06
92.7573,-5.74,2026-06-11 18:45:06
92.7575,1.1,2026-06-11 18:45:06
92.7576,-6.51,2026-06-11 18:45:06
