Timestamp,Frequency (MHz),Classification,Bandwidth (MHz),Noise Floor (dB)
2026-06-16 20:39:54,99.5,FM,0.6821,-13.04
2026-06-16 20:46:07,99.5,FM,0.7046,-14.67
2026-06-16 20:46:14,97.8,FM,0.685,-14.51
2026-06-16 20:53:56,99.5,FM,0.7004,-13.45
2026-06-16 20:54:00,97.8,FM,0.6924,-14.06
2026-06-16 20:54:19,99.5,FM,0.7083,-14.54
2026-06-16 20:54:22,97.8,FM,0.6834,-13.66
2026-06-17 10:11:45,99.5,FM,0.6945,-13.41
2026-06-17 10:11:48,97.8,FM,0.7058,-14.08
2026-06-17 10:13:03,99.5,FM,0.7027,-13.9
2026-06-17 10:13:06,97.8,FM,0.6802,-13.82
2026-06-17 10:14:54,99.5,FM,0.7088,-14.08
2026-06-17 10:14:57,97.8,FM,0.6986,-13.84
2026-06-17 10:18:33,99.5,FM,0.7111,-13.8
2026-06-17 10:18:39,97.8,FM,0.6951,-14.95
2026-06-17 10:41:24,99.5,FM,0.6896,-13.59
2026-06-17 10:41:27,97.8,FM,0.6993,-14.43
2026-06-17 10:41:29,0.0,SYNTHETIC_FM,0.8239,-63.09
2026-06-17 10:41:32,0.0,SYNTHETIC_FM,1.1319,-31.31
2026-06-17 10:41:35,0.0,SYNTHETIC_NOISE,0.0,-100.0
2026-06-17 10:41:36,0.0,SYNTHETIC_FM,0.6983,46.22
2026-06-17 10:44:46,99.5,AM,0.0,-9.15
2026-06-17 10:44:51,97.8,AM,0.0,-9.66
2026-06-17 10:44:53,0.0,SYNTHETIC_DIGITAL,0.1104,-58.62
2026-06-17 10:44:58,0.0,SYNTHETIC_AM,0.0048,-25.96
2026-06-17 10:45:01,0.0,SYNTHETIC_AM,0.0,-100.0
2026-06-17 10:45:07,0.0,SYNTHETIC_DIGITAL,0.3217,50.62
2026-06-17 11:03:34,99.5,AM,0.0,-10.0
2026-06-17 11:03:51,97.8,AM,0.0,-9.93
2026-06-17 11:03:56,0.0,SYNTHETIC_FM,0.1582,-58.62
