Frequency (MHz), Power (dB), Timestamp
97.8,20.10,2026-06-27 13:11:15
98.0,20.32,2026-06-27 13:11:15
98.2,20.08,2026-06-27 13:11:15
98.6,20.07,2026-06-27 13:11:16
98.8,20.18,2026-06-27 13:11:16
99.0,20.12,2026-06-27 13:11:16
99.2,21.25,2026-06-27 13:11:17
99.4,22.00,2026-06-27 13:11:17
99.6,22.14,2026-06-27 13:11:17
99.8,21.31,2026-06-27 13:11:17
100.0,20.27,2026-06-27 13:11:18
100.2,20.06,2026-06-27 13:11:18
105.0,20.09,2026-06-27 13:11:29
105.2,20.26,2026-06-27 13:11:29
105.4,21.06,2026-06-27 13:11:30
105.6,23.46,2026-06-27 13:11:30
105.8,25.03,2026-06-27 13:11:31
106.0,25.24,2026-06-27 13:11:31
106.2,24.96,2026-06-27 13:11:32
106.4,24.98,2026-06-27 13:11:32
106.6,25.00,2026-06-27 13:11:32
106.8,24.90,2026-06-27 13:11:33
107.0,24.63,2026-06-27 13:11:33
107.2,24.45,2026-06-27 13:11:33
107.4,24.57,2026-06-27 13:11:33
107.6,24.19,2026-06-27 13:11:33
107.8,21.99,2026-06-27 13:11:33
