Frequency (MHz),Power (dB),Timestamp
87.5,-27.96,2026-06-08 11:16:24
87.7,-27.94,2026-06-08 11:16:24
87.9,-27.94,2026-06-08 11:16:24
88.1,-27.93,2026-06-08 11:16:24
88.3,-27.93,2026-06-08 11:16:24
88.5,-27.92,2026-06-08 11:16:24
88.7,-27.91,2026-06-08 11:16:24
88.9,-27.94,2026-06-08 11:16:24
89.1,-27.92,2026-06-08 11:16:24
89.3,-27.93,2026-06-08 11:16:24
89.5,-27.93,2026-06-08 11:16:24
89.7,-27.95,2026-06-08 11:16:24
89.9,-27.93,2026-06-08 11:16:24
90.1,-27.94,2026-06-08 11:16:24
90.3,-27.94,2026-06-08 11:16:24
90.5,-27.93,2026-06-08 11:16:24
90.7,-27.94,2026-06-08 11:16:24
90.9,-27.93,2026-06-08 11:16:24
91.1,-27.94,2026-06-08 11:16:24
91.3,-27.96,2026-06-08 11:16:24
91.5,-27.95,2026-06-08 11:16:24
91.7,-27.92,2026-06-08 11:16:24
91.9,-27.94,2026-06-08 11:16:24
92.1,-27.91,2026-06-08 11:16:24
92.3,-27.92,2026-06-08 11:16:24
92.5,-27.94,2026-06-08 11:16:24
92.7,-27.95,2026-06-08 11:16:24
92.9,-27.93,2026-06-08 11:16:24
93.1,-27.94,2026-06-08 11:16:24
93.3,-27.94,2026-06-08 11:16:24
93.5,-27.94,2026-06-08 11:16:24
93.7,-27.98,2026-06-08 11:16:24
93.9,-100.0,2026-06-08 11:16:24
94.1,-100.0,2026-06-08 11:16:24
94.3,-100.0,2026-06-08 11:16:24
94.5,-100.0,2026-06-08 11:16:24
94.7,-100.0,2026-06-08 11:16:24
94.9,-100.0,2026-06-08 11:16:24
95.1,-100.0,2026-06-08 11:16:24
95.3,-100.0,2026-06-08 11:16:24
95.5,-100.0,2026-06-08 11:16:24
95.7,-100.0,2026-06-08 11:16:24
95.9,-100.0,2026-06-08 11:16:24
96.1,-100.0,2026-06-08 11:16:24
96.3,-100.0,2026-06-08 11:16:24
96.5,-100.0,2026-06-08 11:16:24
96.7,-100.0,2026-06-08 11:16:24
96.9,-100.0,2026-06-08 11:16:24
97.1,-100.0,2026-06-08 11:16:24
97.3,-100.0,2026-06-08 11:16:24
97.5,-100.0,2026-06-08 11:16:24
97.7,-100.0,2026-06-08 11:16:24
97.9,-100.0,2026-06-08 11:16:24
98.1,-100.0,2026-06-08 11:16:24
98.3,-100.0,2026-06-08 11:16:24
98.5,-100.0,2026-06-08 11:16:24
98.7,-100.0,2026-06-08 11:16:24
98.9,-100.0,2026-06-08 11:16:24
99.1,-100.0,2026-06-08 11:16:24
99.3,-100.0,2026-06-08 11:16:24
99.5,-100.0,2026-06-08 11:16:24
99.7,-100.0,2026-06-08 11:16:24
99.9,-100.0,2026-06-08 11:16:24
100.1,-100.0,2026-06-08 11:16:24
100.3,-100.0,2026-06-08 11:16:24
100.5,-100.0,2026-06-08 11:16:24
100.7,-100.0,2026-06-08 11:16:24
100.9,-100.0,2026-06-08 11:16:24
101.1,-100.0,2026-06-08 11:16:24
101.3,-100.0,2026-06-08 11:16:24
101.5,-100.0,2026-06-08 11:16:24
101.7,-100.0,2026-06-08 11:16:24
101.9,-100.0,2026-06-08 11:16:24
102.1,-100.0,2026-06-08 11:16:24
102.3,-100.0,2026-06-08 11:16:24
102.5,-100.0,2026-06-08 11:16:24
102.7,-100.0,2026-06-08 11:16:24
102.9,-100.0,2026-06-08 11:16:24
103.1,-100.0,2026-06-08 11:16:24
103.3,-100.0,2026-06-08 11:16:24
103.5,-100.0,2026-06-08 11:16:24
103.7,-100.0,2026-06-08 11:16:24
103.9,-100.0,2026-06-08 11:16:24
104.1,-100.0,2026-06-08 11:16:24
104.3,-100.0,2026-06-08 11:16:24
104.5,-100.0,2026-06-08 11:16:24
104.7,-100.0,2026-06-08 11:16:24
104.9,-100.0,2026-06-08 11:16:24
105.1,-100.0,2026-06-08 11:16:24
105.3,-100.0,2026-06-08 11:16:24
105.5,-100.0,2026-06-08 11:16:24
105.7,-100.0,2026-06-08 11:16:24
105.9,-100.0,2026-06-08 11:16:24
106.1,-100.0,2026-06-08 11:16:24
106.3,-100.0,2026-06-08 11:16:24
106.5,-100.0,2026-06-08 11:16:24
106.7,-100.0,2026-06-08 11:16:24
106.9,-100.0,2026-06-08 11:16:24
107.1,-100.0,2026-06-08 11:16:24
107.3,-100.0,2026-06-08 11:16:24
107.5,-100.0,2026-06-08 11:16:24
107.7,-100.0,2026-06-08 11:16:24
107.9,-100.0,2026-06-08 11:16:24
